,mean_ntl,min_ntl,max_ntl,median_ntl,sd_ntl,lowlightrate_ntl,higheduc_se,loweduc_se,other,unknowneduc_se,wageworker,count,cv_area,cv_length,density,imagery_year,mean_area,mean_length,total_area,total_length,urban,cell_area,Tower_per_sqkm
mean_ntl,1,0.99631738,0.998615834,0.999941775,0.979312845,0.570081169,0.462862382,-0.385807358,0.372685603,-0.410446423,0.635007882,0.842036352,0.772686641,0.79051221,0.82798564,0.263937511,0.840601768,0.776479882,0.928177105,0.881749099,0.734231758,0.738781829,0.809754975
min_ntl,0.99631738,1,0.992257546,0.99646648,0.960347019,0.585666096,0.4781866,-0.394928303,0.389835777,-0.422588887,0.648886499,0.86474669,0.786891173,0.803010516,0.849056248,0.2725779,0.82327276,0.769224378,0.943199433,0.901752111,0.746557712,0.757611686,0.799075969
max_ntl,0.998615834,0.992257546,1,0.998197431,0.987280405,0.565443999,0.458805542,-0.382207717,0.368057176,-0.406096535,0.62892413,0.834054898,0.76532903,0.783303909,0.820729674,0.257803071,0.845181732,0.775657363,0.921740816,0.874084493,0.7277248,0.72893707,0.805146414
median_ntl,0.999941775,0.99646648,0.998197431,1,0.978216312,0.568531585,0.461685157,-0.385111679,0.371872802,-0.409541491,0.633759286,0.843340489,0.772206017,0.790130712,0.829127696,0.263606241,0.838766109,0.775680558,0.929417968,0.883181793,0.733327299,0.738697828,0.810034804
sd_ntl,0.979312845,0.960347019,0.987280405,0.978216312,1,0.524584321,0.423403944,-0.359539794,0.334263272,-0.374707036,0.58880436,0.769631749,0.717037502,0.737598087,0.760375315,0.231454765,0.859444439,0.770511949,0.870804559,0.814140499,0.683334886,0.672072228,0.804683262
lowlightrate_ntl,0.570081169,0.585666096,0.565443999,0.568531585,0.524584321,1,0.718197597,-0.446725044,0.725683794,-0.714094633,0.87896692,0.67833147,0.823219919,0.820422062,0.690188934,0.41156225,0.634821298,0.694106861,0.638812757,0.658831781,0.839864537,0.818598113,0.36188258
higheduc_se,0.462862382,0.4781866,0.458805542,0.461685157,0.423403944,0.718197597,1,-0.316192992,0.702015251,-0.687519005,0.710242278,0.576714606,0.640808766,0.64177538,0.578216999,0.282009612,0.504256248,0.557319682,0.549261694,0.563583648,0.650774963,0.659370709,0.361427332
loweduc_se,-0.385807358,-0.394928303,-0.382207717,-0.385111679,-0.359539794,-0.446725044,-0.316192992,1,-0.510391097,-0.125052212,-0.486588233,-0.414344439,-0.390121311,-0.403428846,-0.445778906,-0.097539622,-0.401538759,-0.42111144,-0.418820959,-0.41705325,-0.454011122,-0.402032866,-0.301333148
other,0.372685603,0.389835777,0.368057176,0.371872802,0.334263272,0.725683794,0.702015251,-0.510391097,1,-0.608827901,0.689088626,0.504637275,0.575146336,0.579649806,0.517858004,0.253596549,0.481081858,0.555165205,0.472227881,0.49084997,0.607006215,0.593749506,0.240024999
unknowneduc_se,-0.410446423,-0.422588887,-0.406096535,-0.409541491,-0.374707036,-0.714094633,-0.687519005,-0.125052212,-0.608827901,1,-0.770155624,-0.476990819,-0.625416766,-0.617278059,-0.454647211,-0.355096929,-0.444297942,-0.488238782,-0.451782231,-0.464388508,-0.593286945,-0.609098277,-0.26861738
wageworker,0.635007882,0.648886499,0.62892413,0.633759286,0.58880436,0.87896692,0.710242278,-0.486588233,0.689088626,-0.770155624,1,0.672084338,0.794010968,0.793923162,0.667020159,0.380303277,0.638629922,0.671806085,0.662391003,0.666540769,0.797026431,0.774658693,0.45488176
count,0.842036352,0.86474669,0.834054898,0.843340489,0.769631749,0.67833147,0.576714606,-0.414344439,0.504637275,-0.476990819,0.672084338,1,0.841573422,0.84040861,0.975575559,0.314905411,0.647869211,0.67214207,0.974472189,0.994941949,0.822365621,0.877898698,0.516485543
cv_area,0.772686641,0.786891173,0.76532903,0.772206017,0.717037502,0.823219919,0.640808766,-0.390121311,0.575146336,-0.625416766,0.794010968,0.841573422,1,0.996217672,0.865337028,0.375012853,0.752024981,0.797539122,0.83050926,0.836340568,0.87021028,0.905562616,0.528202104
cv_length,0.79051221,0.803010516,0.783303909,0.790130712,0.737598087,0.820422062,0.64177538,-0.403428846,0.579649806,-0.617278059,0.793923162,0.84040861,0.996217672,1,0.867983887,0.364327728,0.789665071,0.837193641,0.840187692,0.840696305,0.86105464,0.895090699,0.55271833
density,0.82798564,0.849056248,0.820729674,0.829127696,0.760375315,0.690188934,0.578216999,-0.445778906,0.517858004,-0.454647211,0.667020159,0.975575559,0.865337028,0.867983887,1,0.282740506,0.68385369,0.703947686,0.956023935,0.973148012,0.790128197,0.835959548,0.504690787
imagery_year,0.263937511,0.2725779,0.257803071,0.263606241,0.231454765,0.41156225,0.282009612,-0.097539622,0.253596549,-0.355096929,0.380303277,0.314905411,0.375012853,0.364327728,0.282740506,1,0.282165413,0.319214806,0.294130908,0.304469173,0.40535621,0.442018681,0.173294464
mean_area,0.840601768,0.82327276,0.845181732,0.838766109,0.859444439,0.634821298,0.504256248,-0.401538759,0.481081858,-0.444297942,0.638629922,0.647869211,0.752024981,0.789665071,0.68385369,0.282165413,1,0.961449387,0.755953519,0.693228934,0.664833978,0.660024347,0.741916549
mean_length,0.776479882,0.769224378,0.775657363,0.775680558,0.770511949,0.694106861,0.557319682,-0.42111144,0.555165205,-0.488238782,0.671806085,0.67214207,0.797539122,0.837193641,0.703947686,0.319214806,0.961449387,1,0.751939544,0.707840915,0.687747861,0.713302734,0.670022633
total_area,0.928177105,0.943199433,0.921740816,0.929417968,0.870804559,0.638812757,0.549261694,-0.418820959,0.472227881,-0.451782231,0.662391003,0.974472189,0.83050926,0.840187692,0.956023935,0.294130908,0.755953519,0.751939544,1,0.991379436,0.793715765,0.838543338,0.662882463
total_length,0.881749099,0.901752111,0.874084493,0.883181793,0.814140499,0.658831781,0.563583648,-0.41705325,0.49084997,-0.464388508,0.666540769,0.994941949,0.836340568,0.840696305,0.973148012,0.304469173,0.693228934,0.707840915,0.991379436,1,0.808304575,0.861034588,0.576480571
urban,0.734231758,0.746557712,0.7277248,0.733327299,0.683334886,0.839864537,0.650774963,-0.454011122,0.607006215,-0.593286945,0.797026431,0.822365621,0.87021028,0.86105464,0.790128197,0.40535621,0.664833978,0.687747861,0.793715765,0.808304575,1,0.945143977,0.476919448
cell_area,0.738781829,0.757611686,0.72893707,0.738697828,0.672072228,0.818598113,0.659370709,-0.402032866,0.593749506,-0.609098277,0.774658693,0.877898698,0.905562616,0.895090699,0.835959548,0.442018681,0.660024347,0.713302734,0.838543338,0.861034588,0.945143977,1,0.466899826
Tower_per_sqkm,0.809754975,0.799075969,0.805146414,0.810034804,0.804683262,0.36188258,0.361427332,-0.301333148,0.240024999,-0.26861738,0.45488176,0.516485543,0.528202104,0.55271833,0.504690787,0.173294464,0.741916549,0.670022633,0.662882463,0.576480571,0.476919448,0.466899826,1
